username,repo_name,repo_url,stars
CSSEGISandData,COVID-19,https://github.com/CSSEGISandData/COVID-19,27600
covid19india,covid19india-react,https://github.com/covid19india/covid19india-react,6800
nytimes,covid-19-data,https://github.com/nytimes/covid-19-data,6600
tokyo-metropolitan-gov,covid19,https://github.com/tokyo-metropolitan-gov/covid19,6300
owid,covid-19-data,https://github.com/owid/covid-19-data,4500
pcm-dpc,COVID-19,https://github.com/pcm-dpc/COVID-19,3900
ieee8023,covid-chestxray-dataset,https://github.com/ieee8023/covid-chestxray-dataset,2700
disease-sh,API,https://github.com/disease-sh/API,2300
geohot,corona,https://github.com/geohot/corona,2100
WorldHealthOrganization,app,https://github.com/WorldHealthOrganization/app,2100
ahmadawais,corona-cli,https://github.com/ahmadawais/corona-cli,1800
corona-warn-app,cwa-server,https://github.com/corona-warn-app/cwa-server,1800
ExpDev07,coronavirus-tracker-api,https://github.com/ExpDev07/coronavirus-tracker-api,1600
soroushchehresa,awesome-coronavirus,https://github.com/soroushchehresa/awesome-coronavirus,1500
mhdhejazi,CoronaTracker,https://github.com/mhdhejazi/CoronaTracker,1400
neherlab,covid19_scenarios,https://github.com/neherlab/covid19_scenarios,1400
github,covid19-dashboard,https://github.com/github/covid19-dashboard,1400
pomber,covid19,https://github.com/pomber/covid19,1200
datasets,covid-19,https://github.com/datasets/covid-19,1100
FoldingAtHome,coronavirus,https://github.com/FoldingAtHome/coronavirus,1100
covidpass-org,covidpass,https://github.com/covidpass-org/covidpass,1100
chrismattmann,tika-python,https://github.com/chrismattmann/tika-python,1100
chandrikadeb7,Face-Mask-Detection,https://github.com/chandrikadeb7/Face-Mask-Detection,1100
lindawangg,COVID-Net,https://github.com/lindawangg/COVID-Net,1000
cyberman54,ESP32-Paxcounter,https://github.com/cyberman54/ESP32-Paxcounter,936
ImperialCollegeLondon,covid19model,https://github.com/ImperialCollegeLondon/covid19model,930
UCSD-AI4H,COVID-CT,https://github.com/UCSD-AI4H/COVID-CT,890
nychealth,coronavirus-data,https://github.com/nychealth/coronavirus-data,864
MoH-Malaysia,covid19-public,https://github.com/MoH-Malaysia/covid19-public,846
makers-for-life,makair,https://github.com/makers-for-life/makair,751
